path_genus,path_species,path_com_name,path_abbr,pathogen_type,virus_type,organ_aff,primary_effect,method_of_det,ref,notes,key references to look into
Proleptus,obtusus,,pro_obt,nematode,,,,,29,,
Prochristianella,penaei,,pro_pen,cestode,,hepatopancreas,,light microscopy,"56, 199",,
Proleptus,robustus,,pro_rob,nematode,,,,,26,,
Providencia,rettgeri,,pro_ret,bacteria_extra,,systemic,mortality,,584,fw cultured shrimp,
Profilcollis,sp.,,pro_sp,acanthocephalan,,body cavity,,,168,,
Profilcollis,sphaerocephalus,,pro_sph,acanthocephalan,,body cavity,,,168,,
Prochristianella,tonomegacantha,,pro_ton,cestode,,,,,194,,
Pseudomonas,fluorescenes,red rostrum,pse_flu,bacteria_extra,,,,,156,,
Pseudomonas,sp. ,,pse_sp,bacteria_extra,,,,,511,,
Pseudione,affinis,,pse_aff,isopod,,gill,,,125,,
Pseudione,crenulata,,pse_cre,isopod,,gill,,,125,,
Pseudione,hyndmanni,,pse_hyn,isopod,,gill,,,125,,
Pseudione,galacanthae,,pse_gal,isopod,,gill,,,508,,
Pseudione,panopei,,pse_pan,isopod,,gill,,,220,,
Pseudione,tuberculata,,pse_tub,isopod,,gill,"mortality, stunting",,"2, 482",,
Pseudoproleptus,sp.,,pse_pro,nematode,,body cavity,,,484,,
Psorospermium,haeckeli,,pso_hae,mesomycetozoan,,systemic,,,"106, 232, 251, 297",,
Pseudione,humboldtensis,,pse_hum,isopod,,gill,,,457,,
Psorospermium,orconectis,,pso_orc,mesomycetozoan,,connective tissue,,,249,,
Psorospermium,sp.,,pso_sp,mesomycetozoan,,connective tissue,,,"245, 249, 272, 277",,
Pseudocarcinonemertes,homari,,pse_hom,nemertean,,egg mass,egg mortality,,2,,
,,Penaeus vannamei nodavirus,pvnv,virus,nodavirus,,mortality,molecular,592,,
Quasimaritremopsis,medius,,qua_med,trematode,,,,,442,,
Ramularia,astaci,,ram_ast,fungi,,exoskeleton,,visual,298,,
Renibulbus,penaeus,,ren_pen,cestode,,,,,537,,
Renicola,roscovita,Burn spot disease,ren_ros,trematode,,systemic,,,"56, 109",,
Renifer,sp.,,ren_sp,trematode,,muscle,,,442,,
Aquirickettsiella,sp.,Rickettsia-like bacteria,ric_lik,bacteria_intra,,,,,"92, Jamie 2018 paper",,
,,Rhabdo-like virus A,rhva,virus,rhabdovirus,connective tissue,,,16,,
,,Rhabdo-like virus B,rhvb,virus,rhabdovirus,connective tissue,,,447,,
,,rod-shaped virus of Carcinus maenas,rvcm,virus,nimaviridae,hemolymph,,electron microscopy,32,,
Sacculina,angulata,,sac_ang,rhizocephalan barnacle,,abdomen,sterilization,visual,10,,
Sacculina,beauforti,,sac_bea,rhizocephalan barnacle,,abdomen,sterilization,visual,624,,
Sacculina,bicuspidata,,sac_bic,rhizocephalan barnacle,,abdomen,sterilization,visual,151,,
Sacculina,calva,,sac_cal,rhizocephalan barnacle,,abdomen,sterilization,visual,151,,
Sacculina,carcina,,sac_car,rhizocephalan barnacle,,abdomen,sterilization,visual,221,,
Sacculina,carpilidae,,sac_carp,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Sacculina,cordata,,sac_cor,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Sacculina,ghanensis,,sac_gha,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Sacculina,gordonae,,sac_gor,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Sacculina,granifera,,sac_gra,rhizocephalan barnacle,,abdomen,sterilization,visual,1,,
Sacculina,inflata,,sac_inf,rhizocephalan barnacle,,abdomen,sterilization,visual,"1, 4",,"(Feist et al., 2009"
Sacculina,irrorata,,sac_irr,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Sacculina,lata,,sac_lat,rhizocephalan barnacle,,abdomen,sterilization,visual,10,,
Sacculina,nectocarcini,,sac_nec,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Sacculina,nigra,,sac_nig,rhizocephalan barnacle,,abdomen,sterilization,visual,107,,
Sacculina,papposa,,sac_pap,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Sacculina,pilosa,,sac_pil,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Sacculina,robusta,,sac_rob,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Sacculina,scabra,,sac_sca,rhizocephalan barnacle,,abdomen,sterilization,visual,10,,
Sacculina,senta,,sac_sen,rhizocephalan barnacle,,abdomen,sterilization,visual,107,,
Sacculina,serenei,,sac_ser,rhizocephalan barnacle,,abdomen,sterilization,visual,10,,
Sacculina,sp,,sac_sp,rhizocephalan barnacle,,abdomen,sterilization,visual,"81, 107",,
Sacculina,spinosa,,sac_spi,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Sacculina,teretiuscula,,sac_ter,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Sacculina,weberi,,sac_web,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Saprolegnia,australis,,sap_aus,oomycete,,,,,513,,
Saprolegnia,parasitica,,sap_par,oomycete,,,,,"156, 229",freshwater,
Saprolegnia,sp.,,sap_sp,oomycete,,,,,442,,
,,Scylla baculovirus,sbv,virus,nudivirus,hepatopancreas,none,histology,3,non-disease causing,
Scolex,pleuronectes,,sco_ple,cestode,,gut,,,500,,
,,Portunus trituberculatus reovirus,scrv,virus,reovirus,,,molecular,613,,
Septosaccus,cuenoti,,sep_cue,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
,,shrimp hemocyte iridescent virus,shiv,virus,iridovirus,"gills, hepatopancreas, muscle",mortality,,581,,
,,Spawner isolated mortality virus,smv,virus,parvovirus,,,,203,,
Sogandaritrema,progeneticum,,sog_pro,trematode,,systemic,,,442,,
Southwellina,dimorpha,,sou_dim,acanthocephalan,,body cavity,,,442,,
Spelotrema,capellae,,spe_cap,trematode,,systemic,,,107,,
Spelotrema,excellens,,spe_exc,trematode,,systemic,,,23,,
Spelotrema,macrorchis,,spe_mac,trematode,,systemic,,,107,,
Spiroplasma,eriocheiris,,spi_eri,bacteria_intra,,"blood, muscle, nerves, connective tissue",,electron microscopy,96,,
Spiroplasma,mirum,,spi_mir,bacteria_intra,,gonads?,,"PCR, electron microscopy",490,,
Spiroplasma,penaei,,spi_pen,bacteria_intra,,gonads?,,,259,,
Spiroplasma,sp.,,spi_sp,bacteria_intra,,gonads?,,electron microscopy,269,,
,,Scylla serrata reovirus,ssrv,virus,reovirus,,,,628,,
Staphylococcus,aureus,,sta_aur,bacteria_extra,,,,,156,,
Staphylococcus,sp,,sta_sp,bacteria_extra,,,,,143,,
Stenctor,coreulens,,ste_cor,ciliate,,gill,mortality,,156,"mortality in heavy infection, aquaculture conditions",
Stichocotyle,nephropsis,,sti_nep,trematode,,gut,,visual,120,,
Streptococcus,sp.,,str_sp,bacteria_extra,,,,,599,,
Sulcovaria,mannarensis,,sul_man,microsporidian,,gonads,,"histology, electron microscopy",156,,
Sylon,hippolytes,,syl_hip,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Synophrya,hypertrophica,,syn_hyp,ciliate,,gill,,,42,considerable pathenogenesis of gills,
Temnosewellia,minor,,tem_min,trematode,,exoskeleton,,,459,,
Tetrarhynchus,sp.,,tetr_sp,cestode,,,,,23,,
Tetrahymena,pyriformis,,tet_pyr,ciliate,,gill,,visual,236,,
Tetraphyllidean,sp,,tet_sp,cestode,,,,,66,,
Thelohania,contejeani,porcelain disease,the_con,microsporidian,,muscle,mortality,,"219, 231, 258, 263",,
Thelohania,duorara,,the_duo,microsporidian,,muscle,,,156,,
Thelohania,giardi,,the_gia,microsporidian,,muscle,,,468,,
Thelohania,maenadis,,the_mae,microsporidian,,muscle,,,42,1 reported case of castration,
Thelohania,montirivulorum,,the_mon,microsporidian,,muscle,,"electron microscopy, PCR",242,,
Thelohania,parastaci,,the_par,microsporidian,,muscle,,"electron microscopy, PCR",243,,
Thelohania,semisulcata,,the_sem,microsporidian,,muscle,mortality,"histology, electron microscopy",156,,
Thelohania,sp.,,the_sp,microsporidian,,muscle,,,"1, 184, 214, 245",,"(Marchand andSprague, 1979"
Thynnascaris,sp.,,thy_sp,nematode,,,,,537,,
Tortugaster,boschmai,,tor_bos,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Trapezicepon,amicorum,,tra_ami,isopod,,gill,,,125,,
Triangulus,boschmai,,tri_bos,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Triangulus,munidae,,tri_mun,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Trichosporon,beigelii,,tri_bei,fungi,,cuticle,,,227,,
Trichomaris,invadans,,tri_inv,fungi,,exoskeleton,,visual,84,,
,,Taura syndrome virus,tsv,virus,picornavirus,systemic,,histology,"1, 193",,"(Perkins, 1975"
Tuzetia,weidneri,,tuz_wei,microsporidian,,"hepatopancreas, skeletal muscle",,"histology, electron microscopy, PCR",197,,
Tylokepon,biturus,,tyl_bit,isopod,,gill,,,150,,
Tylokepon,bonnieri,,tyl_bon,isopod,,gill,,,150,,
Tylokepon,naxiae,,tyl_nax,isopod,,gill,,,125,,
Vairimorpha,cheracis,,vai_che,microsporidian,,muscle,,"electron microscopy, PCR",244,,
Vavraia,parastacida,,vav_par,microsporidian,,,sluggish,,442,,
Vavraia,mediterranica,,vav_med,microsporidian,,muscle,,"light microscopy, electron microscopy",,,
Vibrio,alginolyticus,,vib_alg,bacteria_extra,,systemic,gill damage,"PCR, electron microscopy","1, 75, 144, 179",,"(Larsson, 1987)"
Vibrio,anguillarum,,vib_ang,bacteria_extra,,systemic,"spinal damage, low appetite",,"103, 114, 172",,
Vibrio,sp. BML 79-078,Vibrio sp. BML 79-078,vib_bml,bacteria_extra,,systemic,,,114,,
Vibrio,campbellii,,vib_cam,bacteria_extra,,systemic,,,558,,
Vibrio,fluvialis,,vib_flu,bacteria_extra,,systemic,,PCR,"2, 117",,
Vibrio,harveyi,,vib_har,bacteria_extra,,systemic,,,1,,
Vibrio,metschnikovii,,vib_met,bacteria_extra,,systemic,,,615,,
Vibrio,natriegens,,vib_nat,bacteria_extra,,systemic,mortality,"culture, molecular",612,,
Vibrio,nigripulchritudo,,vib_nig,bacteria_extra,,systemic,mortality,"histology, PCR",149,,
Vibrio,owensii,,vib_owe,bacteria_extra,,systemic,,histology,178,,
Vibrio,paraheamolyticus,,vib_par,bacteria_extra,,systemic,mortality,PCR,"78, 133, 157",,
Vibrio,penaeicida,,vib_pen,bacteria_extra,,systemic,,,139,,
Vibrio,sinaloensis,,vib_sin,bacteria_extra,,systemic,,,595,,
Vibrio,sp,,vib_sp,bacteria_extra,,systemic,,,"23, 143, 198, 212, 238",,
Vibrio,vulnificus,,vib_vul,bacteria_extra,,systemic,,,483,,
Vibrio,zhuhaiensis,,vib_zhu,bacteria_extra,,systemic,,PCR,137,,
Vibrio,cholerae,,vib_cho,bacteria_extra,,systemic,,,442,,
Viscosia,glabra,,vis_gla,nematode,,systemic,,,456,,
,,White spot syndrome virus,wssv,virus,Nimaviridae,systemic,mortality,"histology, PCR","1, 17, 122, 134, 154, 158, 175, 177, 188, 200, 208, 215, 225, 228, 240, 259, 260, 270. 501","Whisopovirus, same as prdv, causes penaeid acute viremia (PAV), also white spot disease, white spot baculovirus (wsbv)",
,,Extra small virus,xsv,virus,,,,,547,,
,,Yellow head virus,yhv,virus,Nidovirus,,,,"1, 152, 188, 208",,
