ref.no,citation,Review?,Jamie's thesis?,Not found,abbr_ref
136,"Sellars, M. J., Keys, S. J., Cowley, J. A., et al. (2005). Association of Mourilyan virus with mortalities in farm-reared Penaeus (Marsupenaeus) japonicus transferred to maturation tank systems. Aquaculture. 252, 242-247.",,Y,,Sellars et al 2005
137,"Jin, C., Luo, P., Zuo, H., et al. (2013). Vibrio zhuhaiensis sp. nov., isolated from a Japanese prawn (Marsupenaeus japonicus). Antonie van Leeuwenhoek. 103(5), 989-996.",,Y,,Jin et al 2013
138,"Takahashi, Y., Itami, T., Maeda, M., et al. (1996). Polymerase chain reaction (PCR) amplification of bacilliform virus (RV_PJ) DNA in Penaeus japonicus Bate and systemic ectodermal and mesodermal baculovirus (SEMBV) DNA in Penaeus monodon Fabricius. Journal of Fish Diseases. 19(5), 399-403.",,Y,,Takahashi et al 1996
139,"Ishimaru, K., Akagawa-Matsushita, M., Muroga, K. (1995). Vibrio penaeicida sp. nov., a pathogen of kuruma prawns (Penaeus japonicus). International Journal of Systematic and Evolutionary Microbiology. 45(1), 134-138. et al. 1995",,Y,,Ishimary et al 1995
140,"Spann, K. M., Adlard, R. D., Hudson, D. A., et al. (1997). Hepatopancreatic parvo-like virus (HPV) of Penaeus japonicus cultured in Australia. Diseases of Aquatic Organisms. 31(3), 239-241.",,Y,,Spann et al 1997
141,"Bovo, G., Ceschia, G., Giorgetti, G., et al. (1984). Isolation of and IPN-like virus from adult Kuruma shrimp (Penaeus japonicus). Bulletin of the European Association of Fish Pathologists (Denmark). 4, 21.",,Y,,Bovo et al 1984
142,"Lightner, D. V., Redman, R. M., Bell, T. A. (1983). Infectious hypodermal and hematopoietic necrosis, a newly recognized virus disease of penaeid shrimp. Journal of Invertebrate Pathology. 42(1), 62-70.",,Y,,Lightner et al 1984
143,"Yasuda, K., Kitao, T. (1980). Bacterial flora in the digestive tract of prawns, Penaeus japonicus Bate. Aquaculture. 19(3), 229-234.",,Y,,Yasuda and Kitao 1980
144,"Lee, K. K., Yu, S. R., Yang, T. I., et al. (1996). Isolation and characterization of Vibrio alginolyticus isolated from diseased kuruma prawn, Penaeus japonicus. Letters in Applied Microbiology. 22(2), 111-114.",,Y,,Lee 1996
145,"Bian, B. Z., Egusa, S. (1981). Histopathology of black gill disease caused by Fusarium solani (Martius) infection in the kuruma prawn, Penaeus japonicus Bate. Journal of Fish Diseases. 4(3), 195-201.",,Y,,Bian and Egusa 1981
146,"Rhoobunjongde, W., Hiroshi, H, Tianping, H, et al. (1991). Fusarium moniliforme (Sheldon) isolated from gills of kuruma prawn Penaeus japonicus (Bate) with black gill disease. Journal of the Japan Fisheries Society. 57(4), 629-635",,Y,,Rhoobunjongde et al 1991
147,"Hudson, D. A., Hudson, N. B., Pyecroft, S. B. (2001). Mortalities of Penaeus japonicus prawns associated with microsporidian infection. Australian Veterinary Journal. 79(7), 504-505.",,Y,,Hudson et al 2001
148,"Souheil, H., Vey, A., Thuet, P., et al. (1999). Pathogenic and toxic effects of Fusarium oxysporum (Schlecht.) on survival and osmoregulatory capacity of Penaeus japonicus (Bate). Aquaculture. 178(3), 209-224.",,Y,,Souheil et al 1999
149,"Sakai, T., Hirae, T., Yuasa, K., Kamaishi, T., Matsuyama, T., Miwa, S., ... & Iida, T. (2007). Mass mortality of cultured kuruma prawn Penaeus japonicus caused by Vibrio nigripulchritudo._Fish Pathology,_42(3), 141-147.",,,,Sakai et al 2007
150,"An, J. (2009). A review of bopyrid isopods infesting crabs from China. Integrative and Comparative Biology. 49(2), 95-105.",,Y,,An 2009
151,"Boschma, H. (1950). Notes on Sacculinidae, chiefly in the collection of the United States National Museum. Zoolgische Verhandeleiden. 7, 3_55",,Y,,Boschma 1950
152,"Longyant, S., Sattaman, S., Chaivisuthangkura, P., et al. (2006). Experimental infection of some penaeid shrimps and crabs by yellow head virus (YHV). Aquaculture. 257(1), 83-91.",,Y,,Longyant et al 2006
153,"Manjanaik, B., Umesha, K. R., Karunasagar, I., et al. (2005). Detection of hepatopancreatic parvovirus (HPV) in wild shrimp from India by nested polymerase chain reaction (PCR). Diseases of Aquatic Organisms. 63(2-3), 255-259.",,Y,,Manjanaik et al 2005
154,"Joseph, T. C., James, R., Rajan, L. A., et al. (2015). White spot syndrome virus infection: Threat to crustacean biodiversity in Vembanad Lake, India. Biotechnology Reports. 7, 51-54",,Y,,Joseph et al 2015
155,"Jose, J. K. (2000). Studies on microsporidian infection in Parapenaeopsis stylifera. Indian Journal of Fisheries. 47(2), 155-158.",,Y,,Jose 2000
156,"Rao, P. V., Soni, S. C. (1988). Diseases and parasites of penaeid prawns of India: a short review. Journal of the Indian Fisheries Association. 18, 289-298.",,Y,,Rao and Soni 1988
157,"Chakraborty, R. D., Surendran, P. K., Joseph, T. C. (2008). Isolation and characterization of Vibrio parahaemolyticus from seafoods along the southwest coast of India. World Journal of Microbiology and Biotechnology. 24(10), 2045-2054. et al. 2008",,Y,,Chakraborty et al 2008
158,"Hossain, M. S., Otta, S. K., Karunasagar, I., et al. (2001). Detection of white spot syndrome virus (WSSV) in wild captured shrimp and in non-cultured crustaceans from shrimp ponds in Bangladesh by polymerase chain reaction. Fish Pathology. 36(2), 93-95.",,Y,,Hossain et al. 2001
159,"Manivannan, S., Kennedy, B., Karunasagar, I., et al. (2004). Prevalence of monodon baculovirus in wild Metapenaeus species along the southwest coast of India. Aquaculture. 232(1), 63-67.",,Y,,Manivannan et al 2004
160,"Boxshall, G. (2004)._Choniostoma rotundatum_Stock, 1958. In: Walter, T.C. & Boxshall, G. (2017). World of Copepods database. Accessed through: World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=135908 on 2018-01-14",,,,Boxshall 2004
161,"Printrakoon, C., Purivirojkul, W. (2012). Infection of speckled shrimp Metapenaeus monoceros (Decapoda: Penaeidae) by the branchial parasite Orbione bonnieri (Epicaridea: Bopyridae). Vie et milieu. 62(1), 17-22.",,Y,,Printrakoonand and Purivirojkul 2012
162,"Boyko, C. B. (2012). Perezia Microsporidia vs. Perezia Viridiplantae: homonymy under the ICN with comments on jurisdiction of the ICN or ICZN over nomenclature of the Microsporidia and a brief discussion of this microsporidian genus and its species. Journal of Invertebrate Pathology. 111(3), 257-259.",,Y,,Boyko 2012
163,"Branco JO, Masunari S. 1992. Crescimento de Callinectes danae Smith (Decapoda, Portunidae) da Lagoa da ConceicŸaÖo, FlorianoÇpolis, Santa Catarina, Brasil. Revista Brasileira de Zoologia 2:53_66.",,,,Branco and Masurini 1992
164,"Wolff, R. (1984). Mysis relicta as intermediate host of an acanthocephalan parasite. Transactions of the Illinois Academy of Science. 77, 1-2",,Y,,Wolff 1984
165,,,,,"Small, 2012"
166,"Ryazanova, T. V., Eliseikina, M. G., Kalabekov, I. M., & Odintsova, N. A. (2015). A herpes-like virus in king crabs: Characterization and transmission under laboratory conditions._Journal of invertebrate pathology,_127, 21-31.",,,,Ryazanova et al 2015
167,"Stentiford, G. D., Evans, M., Bateman, K., et al. (2003). Co-infection by a yeast-like organism in Hematodinium-infected European edible crabs Cancer pagurus and velvet swimming crabs Necora puber from the English Channel. Diseases of Aquatic Organisms. 54(3), 195-202.",,Y,,Stentiford et al 2003
168,"Nickol, B. B., Crompton, D. W. T., Searle, D. W. (1999). Reintroduction of Profilicollis Meyer, 1931, as a genus in Acanthocephala: significance of the intermediate host. The Journal of Parasitology. 716-718.",,Y,,Nickol et al 1999
169,"Mortensen, S. H. (1993). Passage of infectious pancreatic necrosis virus (IPNV) through invertebrates in an aquatic food chain. Diseases of Aquatic Organisms. 16, 41-45.",,Y,,Mortensen 1993
170,"Vogt, G. (1996). Cytopathology of Bay of Piran shrimp virus (BPSV), a new crustacean virus from the Mediterranean Sea. Journal of Invertebrate Pathology. 68(3), 239-245.",,Y,,Vogt 1996
171,"Vogt, G. (1992). Palaemon B-cell reo-like virus: a new virus from the hepatopancreas of the shrimp Palaemon elegans. Journal of Invertebrate Pathology. 59(2), 218-220.",,Y,,Vogt 1992
172,"Vogt, G., _trus, J. (1998). Diseases of the shrimp Palaemon elegans (Crustacea: Decapoda) in the Bay of Piran, Adriatic Sea. Journal of Natural History. 32(10/11), 1795-1806.",,Y,,Vogt and _trus 1998
173,"Arias, C., Gestal, C., Rodrêguez, H., et al. (1998). Palaemon elegans, an intermediate host in the life-cycle of Aggregata octopiana. Diseases of Aquatic Organisms. 32(1), 75-78",,Y,,Arias et al 1998
174,"Fisher, W. S. (1983). Eggs of Palaemon macrodactylus: III. Infection by the fungus, Lagenidium callinectes. The Biological Bulletin. 164(2), 214-226.",,Y,,Fisher 1983
175,"Martorelli, S. R., Overstreet, R. M., & Jovonovich, J. A. (2010). First report of viral pathogens WSSV and IHHNV in Argentine crustaceans._Bulletin of Marine Science,_86(1), 117-131.",,Y,,Martorelli et al 2010
176,"Bruce, A. J. (1986). Metaphrixus intutus Bruce (Crustacea: Tsopoda), a bopyrid parasite new to the Australian fauna. Beagle: Records of the Museums and Art Galleries of the Northern Territory. 3, 213.",,Y,,Bruce 1986
177,"Musthaq, S. S., Sudhakaran, R., Balasubramanian, G., et al. (2006). Experimental transmission and tissue tropism of white spot syndrome virus (WSSV) in two species of lobsters, Panulirus homarus and Panulirus ornatus. Journal of Invertebrate Pathology. 93(2), 75-80. et al. 2006",,Y,,Musthaq et al 2006
178,"Goulden, E. F., Hall, M. R., Bourne, D. G., et al. (2012). Pathogenicity and infection cycle of Vibrio owensii in larviculture of the ornate spiny lobster (Panulirus ornatus). Applied and Environmental Microbiology. 78(8), 2841-2849.",,Y,,Goulden et al 2012
179,"Bourne, D.G., Hèj, L., Webster, N.S., et al. (2006). Biofilm development within a larval rearing tank of the tropical rock lobster, Panulirus ornatus. Aquaculture. 260, 27_38.",,Y,,Bourne et al 2006
180,"Kiryu, Y., Behringer, D. C., Landsberg, J. H., et al. (2009). Microsporidiosis in the Caribbean spiny lobster Panulirus argus from southeast Florida, USA. Diseases of Aquatic Organisms. 84(3), 237- 242.",,Y,,Kiryu et al 2009
181,"Nha, V. V., Hoa, D. T., Khoa, L. V. (2009). Black gill disease of cage-cultured ornate rock lobster Panulirus ornatus in central Vietnam caused by Fusarium species. Aquaculture Asia.14, 4.",,Y,,Nha et al 2009
182,"Jansen, P. A., Mackenzie, K., Hemmingsen, W. (1998). Some parasites and commensals of red king crabs, Paralithodes camtschaticus (Tilesius), in the Barents Sea. Bulletin-european association of fish pathologists. 18, 46-49",,Y,,Jansen et al 1998
183,"Falk-Petersen, J., Renaud, P., Anisimova, N. (2011). Establishment and ecosystem effects of the alien invasive red king crab (Paralithodes camtschaticus) in the Barents Sea_a review. ICES Journal of Marine Science: Journal du Conseil. 68(3), 479-488.",,Y,,Falk-Petersen et al 2011
184,"Ryazanova, T. V., Eliseikina, M. G. (2010a). Microsporidia of the genera Thelohania (Thelohaniidae) and Ameson (Pereziidae) in two species of lithodid crabs from the Sea of Okhotsk. Russian Journal of Marine Biology. 36(6), 435-442.",,Y,,Ryazanova et al 2010a
185,"Ryazanova, T. V. (2008). Bitter crab syndrome in two species of king crabs from the Sea of Okhotsk. Russian Journal of Marine Biology. 34(6), 411-414.",,Y,,Ryazanova 2008
186,"Ryazanova, T. V., Eliseikina, M. G., Kukhlevsky, A. D., et al. (2010b). Hematodinium sp. infection of red Paralithodes camtschaticus and blue Paralithodes platypus king crabs from the Sea of Okhotsk, Russia. Journal of Invertebrate Pathology. 105(3), 329-334.",,Y,,Ryazanova et al 2010b
187,"Bray, W. A., Lawrence, A. L., Leung-Trujillo, J. R. (1994). The effect of salinity on growth and survival of Penaeus vannamei, with observations on the interaction of IHHN virus and salinity. Aquaculture. 122(2-3), 133-146.",,Y,,Bray et al 1994
188,"Lightner, D. V., Hasson, K. W., White, B. L., et al. (1998). Experimental infection of western hemisphere penaeid shrimp with Asian white spot syndrome virus and Asian yellow head virus. Journal of Aquatic Animal Health. 10(3), 271-281.",,Y,,Lightner et al 1998
189,"Owens, L. (1983). Bopyrid parasite Epipenaeon ingens Nobili as a biological marker for the banana prawn, Penaeus merguiensis de Man. Marine and Freshwater Research. 34(3), 477-481",,Y,,Owens 1983
190,"Roubal, F. R., Paynter, J. L., Lester, R. J. G. (1989). Electron microscopic observation of hepatopancreatic parvo_like virus (HPV) in the penaeid prawn, Penaeus merguiensis de Man, from Australia. Journal of Fish Diseases. 12(2), 199-201.",,Y,,Roubal et al 1989
191,"Doubrovsky, A., Paynter, J. L., Sambhi, S. K., et al. (1988). Observations on the Ultrastracture of Baculovirus in Australian Penaeus monodon and Penaeus merguiensis. Marine and Freshwater Research. 39(6), 743-749.",,Y,,Doubrovsky et al 1988
192,"Enriquez, G. L., Baticados, M. C. L., Gacutan, R. Q. (1980). Microsporidian parasite of the white prawn Penaeus merguiensis de Man: a preliminary report. Natural and Applied Science Bulletin. 32(1-4), 319-325.",,Y,,Enriquez et al 1980
193,"Overstreet, R. M., Lightner, D. V., Hasson, K. W., et al. (1997). Susceptibility to Taura syndrome virus of some penaeid shrimp species native to the Gulf of Mexico and the southeastern United States. Journal of Invertebrate Pathology. 69(2), 165-176.",,Y,,Overstreet et al 1997
194,"Kruse, D. N. (1959). Parasites of the commercial shrimps, Penaeus aztecus Ives, P. duorarum Burken road and P. setiferus (Linnaeus). Tulane Studies in Zoology. 7(4), 123-144.",,Y,,Kruse 1959
195,"Solangi, M. A., Lightner, D. V. (1976). Cellular inflammatory response of Penaeus aztecus and P. setiferus to the pathogenic fungus, Fusarium sp., isolated from the California brown shrimp, P. californiensis. Journal of Invertebrate Pathology. 27(1), 77-86.",,Y,,Solangi and Lightner 1976
196,"Branco JO, LunardoÇn-Branco MJ. 1993. Crescimento e tamanho de primeira maturacŸaÖo em Callinectes ornatus Ordway, 1863 (Decapoda: Portunidae) da regiaÖo de Matinhos, ParanaÇ, Brasil. Arquivos Biologia e Tecnologia 36:497_503.",,,,Branco and LunardÑn-Branco 1993
197,"Tourtip, S., Wongtripop, S., Stentiford, G. D., et al., (2009). Enterocytozoon hepatopenaei sp. nov. (Microsporidia: Enterocytozoonidae), a parasite of the black tiger shrimp Penaeus monodon (Decapoda: Penaeidae): Fine structure and phylogenetic relationships. Journal of Invertebrate Pathology. 102(1), 21-29. et al. 2009",,Y,,Tourtip et al 2009
198,"Anderson, I. G., Din, M., Shariff, M., et al. (1987). Mortalities of juvenile shrimp, Penaeus monodon, associated with Penaeus monodon baculovirus, cytoplasmic reo-like virus, and rickettsial and bacterial infections, from Malaysian brackishwater ponds. Asian Fisheries Science. 1(1), 47-64.",,Y,,Anderson et al 1987
199,"Ragan, J. G., & Aldrich, D. V. (1972). Infection of brown shrimp, Penaeus aztecus Ives by Prochristianella penaei Kruse (Cestoda: Trypanorhyncha) in southeastern Louisiana bays._Transactions of the American Fisheries Society,_101(2), 226-238.",,Y,,Ragan and Aldrich 1972
200,"Wang, Y. T., Liu, W., Seah, J. N., et al. (2002). White spot syndrome virus (WSSV) infects specific hemocytes of the shrimp Penaeus merguiensis. Diseases of Aquatic Organisms. 52(3), 249-259.",,Y,,Wang et al 2002
201,"Spann, K. M., Donaldson, R. A., Cowley, J. A., et al. (2000). Differences in the susceptibility of some penaeid prawn species to gill-associated virus (GAV) infection. Diseases of Aquatic Organisms. 42(3), 221-225.",,Y,,Spann et al 2000
202,"Owens, L. (1985). Polypocephalus sp. (Cestoda: Lecanicephalidae) as a biological marker for banana prawns, Penaeus merguiensis de Man, in the Gulf of Carpentaria. Marine and Freshwater Research. 36(2), 291-299.",,Y,,Owens 1985
203,"Owens, L., McElnea, C., Snape, N., Harris, L., & Smith, M. (2003). Prevalence and effect of spawner-isolated mortality virus on the hatchery phases of Penaeus monodon and P. merguiensis in Australia._Diseases of aquatic organisms,_53, 101-106.",,Y,,Owens et al 2003
204,"Krabsetsve, K., Cullen, B. R., Owens, L. (2004). Rediscovery of the Australian strain of infectious hypodermal and haematopoietic necrosis virus. Diseases of Aquatic Organisms. 61, 153-158.",,Y,,Krabsetsve et al. 2004
205,"Cowley, J. A., McCulloch, R. J., Rajendran, K. V., et al. (2005). RT-nested PCR detection of Mourilyan virus in Australian Penaeus monodon and its tissue distribution in healthy and moribund prawns. Diseases of Aquatic Organisms. 66(2), 91-104.",,Y,,Cowley et al 2005
206,"Somers, I. F., Kirkwood, G. P. (1991). Population ecology of the grooved tiger prawn, Penaeus semisulcatus, in the north-western Gulf of Carpentaria, Australia: growth, movement, age structure and infestation by the bopyrid parasite Epipenaeon ingens. Marine and Freshwater Research. 42(4), 349-367",,Y,,Somers and Kirkwood 1991
207,"Abu-Hakima, R. (1984). Preliminary observations on the effects of Epipenaeon elegans Chopra (Isopoda; Bopyridae) on reproduction of Penaeus semisulcatus de Haan (Decapoda; Penaeidae). International Journal of Invertebrate Reproduction and Development. 7(1), 51-62.",,Y,,Abu-Hakima 1984
208,"Venegas, C. A., Nonaka, L., Mushiake, K., et al. (2000). Quasi-immune response of Penaeus japonicus to penaeid rod-shaped DNA virus (PRDV). Diseases of Aquatic Organisms. 42(2), 83- 89.",,Y,,Venegas et al 2000
209,"Colorni, A. (1989a). Fusariosis in the shrimp Penaeus semisulcatus cultured in Israel. Mycopathologia. 108(2), 145-147.",,Y,,Colorni 1989a
210,"Thomas, M. M. (1976). A sporozoan infection in Penaeus semisulcatus at Mandapam. Indian Journal of Fisheries. 23(1/2), 282-284.",,Y,,Thomas 1976
211,"Colorni, A. (1989b). Penaeid pathology in Israel: problems and research. In: Advances in Tropical Aquaculture, Workshop at Tahiti, French Polynesia.",,Y,,"Colorni, 1989b"
212,"Tareen, I. U. (1982). Control of diseases in the cultured population of penaeid shrimp, Penaeus semisulcatus (de Haan)._Journal of the World Aquaculture Society,_13(1_4), 157-161.",,Y,,Tareen 1982
213,"Chistoserdov, A. Y., Gubbala, S. L., Smolowitz, R., Mirasol, F., & Hsu, A. (2005, March). A microbiological assessment of epizootic shell disease in the American lobster indicates its strictly dermal etiology. In_Lobster shell disease workshop, University of Massachusetts, Boston, MA_(pp. 12-20).",,,,Chistoserdov et al 2005
214,"Owens, L., Glazebrook, J. S. (1988). Microsporidiosis in prawns from Northern Australia. Marine and Freshwater Research. 39(3), 301-305.",,Y,,Owens and Glazebrook 1988
215,"Vijayan, K. K., Raj, V. S., Balasubramanian, C. P., et al. (2005). Polychaete wormsÊa vector for white spot syndrome virus (WSSV). Diseases of Aquatic Organisms. 63(2-3), 107-111.",,Y,,Vijayan et al 2005
216,"Coelho, M. G., Silva, A. C., Nova, C. M. V., et al. (2009). Susceptibility of the wild southern brown shrimp (Farfantepenaeus subtilis) to infectious hypodermal and hematopoietic necrosis (IHHN) and infectious myonecrosis (IMN). Aquaculture. 294(1), 1-4.",,Y,,Coelho et al 2009
217,"LeBlanc, B. D., Overstreet, R. M., Lotz, J. M. (1991). Relative susceptibility of Penaeus aztecus to Baculovirus penaei. Journal of the World Aquaculture Society. 22(3), 173-177.",,Y,,LeBlanc et al 1991
218,"Vivares, C. P. (1970). Parasites de crustaces decapodes brachyoures du golfe et du lac de Tunis: Note pr_liminaire. Bulletin Institute Oc_anography Pêche Salammb_. 1(4), 181-202",,Y,,Vivares 1970
219,"Mario, M., Salvidio, S. (2000). The occurrence of Thelohania contejeani Henneguy, a microsporidian parasite of the crayfish Austropotamobius pallipes (Lereboullet), in Liguria Region (NW Italy). Journal of Limnology. 59(2), 167-169.",,Y,,"Mario and Salvidio, 2000"
220,"Markham, J. C. (1975). New Records of Two Species of Parasitic Isopods of the Bopyrid Subfamily Ioninae in the Western Atlantic. Crustaceana. 29(1), 55-67.",,Y,,Markham 1975
221,"Boschma, H. (1972). On the occurrence of Carcinus maenas (Linnaeus) and its parasite Sacculina carcini Thompson in Burma, with notes on the transport of crabs to new localities. Zoologische Mededelingen. 47(11), 145-155.",,Y,,Boschma 1972
222,"Marchand, J., Sprague, V. (1979). Ultrastructure de Minchinia cadomensis sp. n.(Haplosporida) Parasite du D_capode Rhithropanopeus harrisii tridentatus Maitland dans le Canal de Caen _ la Mer (Calvados, France). The Journal of Protozoology. 26(2), 179-185.",,Y,,March and Sprague 1979
223,"Rosenfield, A., Buchanan, L., Chapman, G. B. (1969). Comparison of the fine structure of spores of three species of Minchnia (Haplosporidia: Haplosporidiiae). Journal of Parasitology. 55, 921- 941.",,Y,,Rosenfield et al 1969
224,"Bourdon, R., Bruce, A. J. (1979). Bopyrella saronae sp. nov., a new bopyrid parasite (Isopoda) of the shrimp Saron marmoratus (Olivier). Crustaceana. 37(2), 191-197.",,Y,,Bourdon and Bruce 1979
225,"Pradeep, B., Rai, P., Mohan, S. A., et al. (2012). Biology, host range, pathogenesis and diagnosis of white spot syndrome virus. Indian Journal of Virology. 23(2), 161-174.",,Y,,Pradeep et al 2012
226,"Ljungberg, O., Monne, L. (1968). On the eggs of an enigmatic nematode parasite encapsulated in the connective tissue of the European crayfish, Astacus astacus in Sweden. Bulletin-Office International des Epizooties. 69(7), 1231.",,Y,,"Ljungberg and Monne, 1968"
227,"S_derh_ll, K., Rantam_ki, J., Constantinescu, O. (1993). Isolation of Trichosporon beigelii from the freshwater crayfish Astacus astacus. Aquaculture. 116(1), 25-31.",,Y,,S_derh_ll et al. 1993
228,"Baumgartner, W. A., Hawke, J. P., Bowles, K., et al. (2009). Primary diagnosis and surveillance of white spot syndrome virus in wild and farmed crawfish (Procambarus clarkii, P. zonangulus) in Louisiana, USA. Diseases of Aquatic Organisms. 85(1), 15.",,Y,,Baumgartner et al. 2009
229,"S_derh_ll, K., Dick, M. W., Clark, G., et al. (1991). Isolation of Saprolegnia parasitica from the crayfish Astacus leptodactylus. Aquaculture. 92, 121-125.",,Y,,S_derh_ll et al. 1991
230,"Rahe, R., Soylu, E. (1989). Identification of the pathogenic fungus causing destruction to Turkish crayfish stocks (Astacus leptodactylus). Journal of Invertebrate Pathology. 54(1), 10-15.",,Y,,"Rahe and Soylu, 1989"
231,"Quilter, C. G. (1976). Microsporidan parasite Thelohania contejeani Henneguy from New Zealand freshwater crayfish. New Zealand Journal of Marine and Freshwater Research. 10(1), 225-231.",,Y,,"Quilter, 1976"
232,"Vranckx, R., Durliat, M. (1981). Encapsulation of Psorospermium haeckeli by the haemocytes ofAstacus leptodactylus. Experientia. 37(1), 40-42.",,Y,,"Vranckx and Durliat, 1981"
233,"Khamesipour, F., Khodadoustan-Shahraki, A., Moumeni, M., et al. (2013). Prevalence of Listeria monocytogenes in the crayfish (Astacus leptodactylus) by polymerase chain reaction in Iran. International Journal of Biosciences. 3(10), 160-169.",,Y,,Khamesipour et al. 2013
234,"SamCookiyaei, A., Afsharnasab, M., Razavilar, V., et al. (2012). Experimentally pathogenesis of Aeromonas hydrophila in freshwater Crayfish (Astacus leptodactylus) in Iran. Iranian Journal of Fisheries Sciences. 11(3), 644-656.",,Y,,SamCookiyaei et al. 2012
235,"Subchev, M., Koutrakis, E., Perdikaris, C. (2007). Crayfish epibionts Branchiobdella sp. and Hystricosoma chappuisi (Annelida: Clitellata) in Greece. Bulletin Français de la Pêche et de la Pisciculture. 387, 59-66.",,Y,,Subchev et al. 2007
236,"Nekuie Fard, A., Afsharnasab, M., Seidgar, M., et al. (2015). Protozoan epibionts on Astacus leptodactylus (Eschscholtz, 1823) from Aras Reservoir, Northwest Iran. Iranian Journal of Fisheries Sciences. 14(2), 308-320.",,Y,,Nekuie Fard et al. 2015
237,"Van Engel WA. 1958. The blue crab and its fishery in Chesapeake Bay. Part 1„reproduction, early development, growth and migration. Commercial Fisheries Review 20:6_17",,,,Van Engel 1958
238,"Diler, O., Bolat, Y. (2001). Isolation of Acremonium species from crayfish, Astacus leptodactylus in Egirdir Lake. Bulletin-European Association of Fish Pathologists. 21(4), 164-168.",,Y,,"Diler and Bolat, 2001"
239,"Wu, K. (1938). Progenesis of Phyllodistomum lesteri sp. nov. (Trematoda: Gorgoderidae) in freshwater shrimps. Parasitology. 30(01), 4-19.",,Y,,"Wu, 1938"
240,"Edgerton, B. F. (2004). Susceptibility of the Australian freshwater crayfish Cherax destructor albidus to white spot syndrome virus (WSSV). Diseases of Aquatic Organisms. 59, 187-193.",,Y,,"Edgerton, 2004"
241,"Edgerton, B., Webb, R., Wingfield, M. (1997). A systemic parvo-like virus in the freshwater crayfish Cherax destructor. Diseases of Aquatic Organisms. 29(1), 73-78.",,Y,,"Edgerton and Webb, 1997"
242,"Moodie, E. G., Le Jambre, L. F., Katz, M. E. (2003a). Thelohania montirivulorum sp. nov. (Microspora: Thelohaniidae), a parasite of the Australian freshwater crayfish, Cherax destructor (Decapoda: Parastacidae): fine ultrastructure, molecular characteristics and phylogenetic relationships. Parasitology Research. 91(3), 215-228.",,Y,,Moodie et al. 2003a
243,"Moodie, E. G., Le Jambre, L. F., Katz, M. E. (2003b). Thelohania parastaci sp. nov. (Microspora: Thelohaniidae), a parasite of the Australian freshwater crayfish, Cherax destructor (Decapoda: Parastacidae). Parasitology Research. 91(2), 151-165.",,Y,,Moodie et al. 2003b
244,"Moodie, E. G., Le Jambre, L. F., Katz, M. E. (2003c). Ultrastructural characteristics and small subunit ribosomal DNA sequence of Vairimorpha cheracis sp. nov., (Microspora: Burenellidae), a parasite of the Australian yabby, Cherax destructor (Decapoda: Parastacidae). Journal of Invertebrate Pathology. 84(3), 198-213.",,Y,,Moodie et al. 2003c
245,"Herbert, B. (1987). Notes on diseases and epibionts of Cherax quadricarinatus and C. tenuimanus (Decapoda: Parastacidae). Aquaculture. 64(3), 165-173.",,Y,,"Herbert, 1987"
246,,,Y,,"Edgerton, 1996"
247,"Rohde, K., Watson, N. (1989). Ultrastructural studies of larval and juvenile Austramphilina elongata (Platyhelminthes, Amphilinidea); penetration into, and early development in the intermediate host, Cherax destructor. International Journal of Parasitology. 19, 529_538.",,Y,,"Rohde and Watson, 1989"
248,"Schrimpf, A., Chucholl, C., Schmidt, T., et al. (2013). Crayfish plague agent detected in populations of the invasive North American crayfish Orconectes immunis (Hagen, 1870) in the Rhine River, Germany. Aquatic Invasions. 8(1), 103-109.",,Y,,Schrimpf et al. 2013
249,"Henttonen, P., Huner, J. V., Lindqvist, O. V. (1994). Occurrence of Psorospermium sp. in several North American crayfish species, with comparative notes on Psorospermium haeckeli in the European crayfish, Astacus astacus. Aquaculture. 120(3-4), 209-218.",,Y,,Henttonen et al. 1994
250,"Kozubêkov_, E., Viljamaa-Dirks, S., Heinikainen, S., et al. (2011). Spiny-cheek crayfish Orconectes limosus carry a novel genotype of the crayfish plague pathogen Aphanomyces astaci. Journal of Invertebrate Pathology. 108(3), 214-216.",,Y,,Kozubêkov_ et al. 2011
251,"Vogt, G., & Rug, M. (1995). Microscopic anatomy and histochemistry of the crayfish parasite Psorospermium haeckeli. Diseases of Aquatic Organisms. 21(2), 79-90.",,Y,,"Vogt and Rug, 1995"
252,"Fernandez-Leborans, G., Tato-Porto, M. L. (2000). A review of the species of protozoan epibionts on crustaceans. II. Suctorian ciliates. Crustaceana. 73(10), 1205-1237.",,Y,,"Fernandez-Leborans and Tato-Porto, 2000"
253,"_uri_, Z., Hork_, I., Kristian, J., et al. (2006). Some cases of macro-epibiosis on the invasive crayfish Orconectes limosus in the Czech Republic. Bulletin français de la pêche et de la pisciculture. 381, 1325-1337.",,Y,,_uris et al. 2006
254,"Sargent, L. W., Baldridge, A. K., Vega-Ross, M., et al. (2014). A trematode parasite alters growth, feeding behavior, and demographic success of invasive rusty crayfish (Orconectes rusticus). Oecologia. 175(3), 947-958.",,Y,,Sargent et al. 2014
255,"Corey, S. (1988). Comparative life histories of four populations of Orconectes propinquus (Girard, 1852) in southwestern Ontario, Canada (Decapoda, Astacidea). Crustaceana. 54(2), 129-138.",,Y,,"Corey, 1988"
